ID	SEX	MUMID	TWIN	CAPAGE	BIRTHYEAR	BIRTHWT
3860	1	64	1	2	18	1.3
8589	1	1037	0	3	13	3.2
2359	2	4473	0	2	18	2.1
6033	1	7201	1	1	5	1.4
8965	2	6300	0	4	3	2.4
6555	1	1793	0	4	14	2.2
6764	1	5479	0	2	18	2
7390	2	546	0	4	15	1.75
4555	1	3603	0	0	20	2.7
4400	1	2966	0	1	18	1.6
2110	2	7519	0	1	13	1.8
1312	2	5318	0	1	16	2.9
104	1	7510	0	3	22	1.9
5123	2	6849	1	2	11	2.2
7336	1	6110	1	2	11	1.7
3487	1	1472	0	2	11	2.1
1178	1	5108	1	2	26	1.6
6519	1	7333	0	3	27	3
8678	1	3270	0	2	22	3.6
1931	1	7950	0	0	17	2.2
7957	1	229	0	1	13	2
5413	2	183	1	1	7	1.2
4488	1	6792	1	3	6	2.4
668	1	1529	0	0	20	2.9
7230	1	1714	0	2	20	2.5
8288	2	5057	0	3	4	2.6
4435	2	183	0	1	26	2.9
1013	1	6937	0	1	7	1.9
7837	1	5831	0	1	11	3.2
1198	1	8836	0	2	21	2.4
478	2	27	0	2	22	2.5
3015	1	2857	0	1	6	2.9
2074	2	8738	0	1	9	1.2
5980	1	8202	0	2	27	2.4
3518	2	1257	1	2	16	1.3
7041	2	3846	0	1	20	2.3
3787	1	3027	1	1	29	1.4
6813	2	5881	0	2	4	2.55
1038	2	7684	0	2	18	1.9
1511	2	4672	0	1	8	0.9
7766	1	7577	0	2	16	1.9
5822	1	7991	0	1	21	1.9
2696	2	6843	0	1	15	3
8960	2	2899	0	2	8	2.8
4007	2	6299	1	2	27	1.5
1926	2	6792	0	2	25	2.1
6284	2	6937	0	0	27	1.65
7205	1	692	1	0	16	2.6
772	1	6788	0	2	26	2.4
4341	2	3457	0	3	20	1.3
8211	2	3111	0	3	9	2.3
7021	1	6158	0	2	11	2.3
1023	1	52	1	1	12	1.55
4809	1	1540	0	0	17	2.3
164	2	6102	0	1	21	1.3
6526	1	9023	0	2	14	2.5
6912	2	8734	0	2	22	1.7
1777	1	450	0	1	27	2.05
1624	2	6768	1	0	9	1.55
3660	2	3476	0	0	24	1
8138	2	7506	1	2	16	2
3879	1	745	0	2	4	2.25
8438	2	6765	0	1	11	2.3
2027	2	6764	0	5	14	1.9
2008	1	3926	0	1	11	2
3356	1	762	0	2	22	2.5
3736	1	516	1	1	15	2.15
6361	1	7583	0	2	17	2.4
6652	2	4485	1	1	12	1.8
2978	2	4482	1	3	22	1.8
1074	1	1274	0	2	5	2.9
1378	1	6110	0	1	2	1.4
7132	1	518	0	0	15	1
952	2	6006	0	0	12	1.5
6451	2	715	0	2	3	2.7
4630	1	2780	1	2	22	1.5
5667	2	1833	0	1	13	2.8
4142	2	4049	0	0	17	1.6
2997	1	3137	0	2	2	1.6
4934	1	5751	0	5	26	3.2
3975	2	5422	0	0	25	1.1
7345	2	1809	0	3	27	2.15
5851	2	2134	0	2	6	1.5
8989	2	260	0	4	26	1.5
3883	1	8598	0	2	6	1.7
2357	2	2196	0	2	12	3
5212	1	4179	0	0	11	2
4363	2	1860	0	2	12	2.5
1180	2	8533	0	2	15	2.5
6873	2	3801	0	2	23	1.6
8690	2	8145	0	2	8	2.45
7048	1	6215	1	1	22	1.5
2463	1	8541	0	1	2	2.2
8278	1	3879	1	1	27	1.55
632	1	5371	1	1	15	1.45
1606	1	1805	0	2	5	1.4
8527	2	6299	1	2	13	2.5
7131	2	6555	1	1	26	1.5
5078	1	2975	0	2	9	1.75
2989	2	2286	0	3	27	1.65
1295	2	7638	1	1	2	0.8
3675	2	1375	0	3	3	3.5
1714	1	5262	0	1	21	2.4
1601	2	442	0	2	11	2.5
13	2	6161	0	2	23	2.8
5408	1	476	0	0	5	0.8
6908	1	2682	0	1	29	2.3
3320	2	2279	0	1	8	1.2
1468	2	5479	0	5	11	2.1
3281	1	8063	0	1	13	1.7
6665	2	3432	1	3	2	1.4
4102	1	7380	0	2	23	1
4202	1	8477	0	5	9	2.5
2281	1	1164	0	2	8	2.7
5846	2	8729	0	1	5	1.1
8111	1	5879	0	4	23	3
9040	1	4473	0	2	5	2.5
1893	1	6776	0	0	17	1.8
1220	2	3948	0	2	6	2.3
6435	1	8729	0	4	23	2.7
223	1	535	0	2	26	2.6
5018	1	5006	1	3	23	1.7
881	2	8376	0	3	22	2.1
5981	1	7642	1	0	26	1.8
1754	2	745	1	2	14	1.5
6158	1	8971	0	2	25	2.2
6797	2	8145	0	2	9	2.45
4568	1	3785	0	1	27	2.45
3171	2	6621	0	2	6	3.1
3488	2	3376	1	4	16	2.3
1915	1	4256	0	1	2	1.1
4327	2	6106	0	5	27	3.15
3259	1	6776	0	1	21	1.4
505	2	331	0	3	14	3
4081	2	7710	1	3	23	1.7
7431	1	2729	1	2	18	1.6
8800	1	3137	0	1	11	2.9
3889	2	503	0	2	16	2.8
4812	2	3655	0	2	13	2.4
5191	2	8108	1	1	3	1.9
8609	2	5318	0	3	22	2.8
5037	2	4854	0	4	26	3.3
4782	2	7287	1	4	9	1.25
728	2	6846	0	1	13	3
7488	1	3916	0	2	13	2.7
4398	2	1037	1	1	12	2.15
6303	2	8376	1	2	12	1.65
6163	2	3065	0	2	20	2.5
5343	1	7840	1	2	22	2.2
6663	1	3227	0	1	8	1.9
9017	1	6271	0	1	20	2.7
3163	1	2476	0	2	22	1.9
8553	1	8729	0	2	18	1.5
9019	1	4230	0	0	17	2.6
5367	2	465	0	5	22	2.7
8249	1	8364	0	2	2	1.5
3865	1	7333	0	5	15	3.15
6911	2	4822	0	1	20	2.9
6821	1	7779	1	2	22	1.4
6806	2	6257	0	2	2	1.7
5512	2	8249	0	2	4	2.3
2637	1	6276	0	3	27	2.15
4445	2	3356	1	2	26	2.2
3051	1	7636	0	1	23	1
1753	2	240	0	3	23	3.7
8086	2	8848	0	2	25	2.2
1050	2	17	1	0	17	2.1
250	2	692	0	2	3	2.5
929	1	162	0	1	11	2.3
8657	1	515	0	2	18	2.5
6636	2	6257	0	2	11	2.2
7380	1	6621	0	2	5	2.9
7278	1	1805	0	2	2	2.4
5658	2	2548	0	3	15	2.45
2460	1	2682	1	2	23	2.1
2645	2	3747	0	3	12	3.2
2960	1	1321	0	1	18	1.1
2474	1	1107	0	1	29	2.1
1547	2	2355	0	2	12	2
1245	2	7068	0	2	23	3.2
4286	1	3592	0	2	27	2.6
5388	1	7519	0	2	12	1.85
3912	2	3832	0	2	6	3.2
4626	1	9049	0	2	6	1.8
8959	2	3994	1	4	14	1.7
6501	2	1783	0	4	18	3.4
6670	1	4413	0	2	7	2.2
8555	2	8427	0	3	3	2.1
4316	1	1334	0	1	21	2.7
2972	1	516	0	2	26	2
5228	2	8289	0	2	6	2.4
6815	2	6110	0	2	22	2.6
1743	1	3971	1	2	27	1.85
8507	1	5920	1	3	12	1.45
8029	1	8738	0	2	26	2.6
3102	2	3592	0	4	8	1.65
7351	2	5920	1	3	12	2
3458	2	2729	0	2	23	3.4
8629	2	1622	1	2	20	2.1
4932	1	4246	0	3	8	1.65
5211	1	7813	0	2	13	2.2
5235	1	7638	1	0	11	1
4373	1	8605	0	2	27	2.7
8149	2	6692	1	4	27	1.15
3959	2	1015	1	2	14	1.6
2873	2	5075	0	0	16	0.8
6470	1	1829	0	4	12	1.75
2043	2	5956	0	2	14	2.1
