ID	SEX	MUMID	TWIN	CAPAGE	BIRTHYEAR	BIRTHWT
6215	1	5440	0	2	3	3.1
5575	2	7779	1	2	22	1.8
5978	2	516	1	2	9	2.1
1503	2	6521	1	4	10	2.04
2505	2	183	0	2	4	2.7
574	2	7564	0	5	3	4.3
4398	2	1037	1	1	12	2.15
7013	1	2062	0	0	5	0.8
6768	1	1221	0	3	22	2.4
4440	1	3986	1	2	6	1.4
745	1	5675	0	3	23	3.4
1833	1	8249	0	1	26	2.8
4505	1	4306	0	1	11	2.7
3520	1	6452	0	1	29	1.4
1548	2	5981	0	0	8	2.2
4844	1	7596	0	3	11	2.5
6714	1	5815	1	0	19	0.95
2597	1	5642	0	2	6	2.5
258	1	1833	0	3	15	1.9
6133	2	1164	0	4	22	2.4
5929	1	1456	0	3	15	3.15
8222	1	4934	0	4	13	2.6
2070	1	2926	0	3	5	2
7626	1	2317	1	0	12	1.8
8692	1	8341	0	2	23	2.2
2811	2	6161	0	2	18	2.8
2839	1	4903	0	2	18	2.1
6158	1	8971	0	2	25	2.2
8044	1	4514	1	2	12	1.8
1038	2	7684	0	2	18	1.9
3655	1	5556	0	1	26	2.3
8527	2	6299	1	2	13	2.5
8145	1	52	0	3	7	2.4
346	1	4031	0	1	11	2.2
6435	1	8729	0	4	23	2.7
983	1	765	0	2	16	1.6
6230	2	7684	0	2	2	2.3
5057	1	7751	0	2	2	2.4
7009	1	8877	0	3	4	2.3
51	2	7068	0	0	3	1.2
3058	2	4192	1	2	16	2.1
2928	2	8526	0	3	11	2
7336	1	6110	1	2	11	1.7
960	1	7564	1	2	6	2.7
6169	2	9021	0	2	13	2.5
4406	1	3840	0	2	7	2.2
7413	2	3782	0	4	19	1.9
2460	1	2682	1	2	23	2.1
6268	1	4749	0	0	13	0.4
169	2	8364	1	3	11	1.5
2330	1	6520	0	2	13	2.7
2887	2	5410	0	5	7	3.9
8849	2	2697	1	2	22	2.2
2890	1	8145	0	1	15	1.95
6647	1	2980	0	3	22	1.9
7651	1	5881	1	3	12	1.6
7249	1	7760	0	1	26	2.4
7986	1	8946	0	3	15	1.75
4279	1	2306	0	1	11	2
6935	2	8293	0	2	14	2.6
6799	2	6503	1	5	9	1.675
1671	2	8316	0	1	7	2.45
6579	2	3659	0	2	18	2
6750	2	3196	0	0	23	0.6
7495	2	2682	0	1	6	2.2
5635	1	6843	0	1	8	1.8
2154	2	8866	1	0	17	1.9
8338	1	5499	1	0	1	0.9
769	2	7636	0	3	7	2.7
5897	2	4626	0	2	16	2.6
3566	2	5239	0	0	17	2.3
8147	1	335	1	4	15	1.8
8740	1	8810	0	3	23	2.6
7528	1	6792	1	2	23	1.7
3801	1	2476	0	2	5	1.7
7857	1	8293	1	2	18	1
493	1	4256	0	3	4	1.95
5108	1	3926	0	2	2	2
6311	1	903	0	3	1	2.45
687	1	9023	0	2	2	1.9
945	1	2780	1	2	2	1.2
7262	2	8316	1	1	12	1.95
4160	2	465	1	1	18	1.7
6352	2	3837	0	2	12	2.35
1136	1	6831	0	2	6	2.7
1623	1	7201	0	2	21	1.5
5066	1	9017	1	2	18	2
8885	1	7642	1	1	13	1.5
2076	2	1505	0	0	8	1.25
6909	1	1689	0	5	8	1.85
5005	1	7861	0	5	15	2.9
5236	1	5108	0	1	11	1.6
7181	2	6892	0	3	15	2.2
7606	1	8978	0	1	19	2.6
1915	1	4256	0	1	2	1.1
2936	1	8913	0	2	11	1.6
5922	2	4781	0	1	16	3
4139	1	450	0	1	12	1.05
3302	2	3733	0	3	9	2.5
9006	2	8102	0	3	1	1.6
