ID;BarcodeADN;enterotype;shannon;richness;Prevotella_9;Agathobacter;Dialister;Streptococcus;Shuttleworthia;Lachnospiraceae_XPB1014_group;Succinivibrionaceae_UCG_001;Rikenellaceae_RC9_gut_group;Prevotella;Campylobacter;Treponema;Lactobacillus;Faecalibacterium;Alloprevotella;Prevotellaceae_UCG_003;Prevotella_7;UCG_002;Lachnospiraceae_AC2044_group;Coprococcus;Subdoligranulum;Oribacterium;Lachnospira;Prevotellaceae_NK3B31_group;Mitsuokella;Succinivibrio;Lachnospiraceae_NK4A136_group;Christensenellaceae_R_7_group;NK4A214_group;Terrisporobacter;Family_XIII_AD3011_group;Blautia;Clostridium_sensu_stricto_1;UCG_005;Roseburia;Fibrobacter;Candidatus_Soleaferrea;Oscillospira;Sarcina;Ruminococcus__gauvreauii_group;Anaerovibrio;Desulfovibrio;dgA_11_gut_group;Marvinbryantia;HT002;Eubacterium__eligens_group;Dorea;Fournierella;Fusicatenibacter;Lachnospiraceae_UCG_004;Helicobacter;Eubacterium__ruminantium_group;Incertae_Sedis;Eubacterium__siraeum_group;Eubacterium__xylanophilum_group;Ruminococcus;Butyricicoccus;Peptococcus;Lachnospiraceae_NK3A20_group;Intestinibacter;UCG_004;UCG_003;CAG_873;Catenibacterium;Lachnospiraceae_UCG_007;Oscillibacter;Erysipelotrichaceae_UCG_009;Anaerosporobacter;Prevotellaceae_UCG_001;Holdemanella;UCG_008;Lachnospiraceae_ND3007_group;Sutterella;Anaeroplasma;Escherichia_Shigella;Prevotellaceae_UCG_004;Turicibacter;Acetitomaculum;Lachnoclostridium;UCG_009;Mycoplasma;Romboutsia;Lachnospiraceae_FCS020_group;Bacteroides__pectinophilus_grou;Anaerostipes;Solobacterium;Lachnospiraceae_NK4B4_group;Catenisphaera;Lachnospiraceae_UCG_009;Mucispirillum;Butyrivibrio;Lachnospiraceae_UCG_001;Eubacterium__hallii_group;Colidextribacter;Parabacteroides;Monoglobus;Erysipelotrichaceae_UCG_006;Angelakisella;Family_XIII_UCG_001;Mailhella;Lachnospiraceae_UCG_010;Lachnospiraceae_UCG_003;Ligilactobacillus;Caproiciproducens;Olsenella;Frisingicoccus;Allisonella;Oxalobacter;Anaerorhabdus__furcosa_group;Anaerobiospirillum;Ruminococcus__torques_group;Syntrophococcus;Eubacterium__ventriosum_group;Paludicola;Bacteroides;Pygmaiobacter;Eubacterium__nodatum_group;Lawsonia;Collinsella;UCG_001;Asteroleplasma;Intestinimonas;Cellulosilyticum;Enterorhabdus;Negativibacillus;Pseudobutyrivibrio;GCA_900066575;_28_4;Fusobacterium;Sphaerochaeta;Ezakiella;Anaerovorax;CAG_352;Mogibacterium;Erysipelotrichaceae_UCG_003;Limosilactobacillus;Corynebacterium;Pseudoflavonifractor;Defluviitaleaceae_UCG_011;Ruminiclostridium;Selenomonas;Candidatus_Stoquefichus;Eubacterium__fissicatena_group;CAG_56;Erysipelotrichaceae_UCG_002;Bifidobacterium;Actinobacillus;Papillibacter;Clostridium_sensu_stricto_6;FD2005;Lachnospiraceae_UCG_006;Eisenbergiella;Tuzzerella;Megasphaera;Eubacterium__oxidoreducens_grou;Parasutterella;Lachnospiraceae_NC2004_group;SP3_e08;possible_genus_Sk018;T2WK15B57;Acetivibrio__ethanolgignens_gro;Slackia;Rothia;Paraprevotella;Sharpea;UCG_007;Clostridium_sensu_stricto_13;Tyzzerella;Anaerofustis;Clostridium_sensu_stricto_3;Dielma;Libanicoccus;Eubacterium__brachy_group;V9D2013_group;Acinetobacter;Ruminococcus__gnavus_group;Lachnospiraceae_UCG_008;Anaerococcus;Elusimicrobium;Enterococcus;Solibacillus;XBB1006;Porphyromonas;Schwartzia;Mobilisporobacter;Bilophila;Fenollaria;DTU089;Acidaminococcus;Weissella;Asaccharospora;Pseudoramibacter;Howardella;Denitrobacterium;Falsiporphyromonas;Butyricimonas;Coriobacteriaceae_UCG_002;UBA1819;Odoribacter;Fastidiosipila;hoa5_07d05_gut_group;Aquamonas;Parasporobacterium;Streptomyces;Kandleria;Citrobacter;S5_A14a;Acetanaerobacterium;GCA_900066755;Amnipila;Phascolarctobacterium;Muribaculum;Aerococcus;Peptoniphilus;Candidatus_Saccharimonas;Anaerofilum;Rummeliibacillus;Bacillus;CHKCI001;Eubacterium__tenue_group;Murimonas;Murdochiella;VAR231;EMP_G18;Abyssivirga;Clostridium_sensu_stricto_5;Sporobacterium;Enteroscipio;Propionispira;Staphylococcus;Aminobacter;possible_genus_06;Senegalimassilia;Erysipelatoclostridium;Pseudomonas;Actinomyces;Anaerobacter;Klebsiella;Candidatus_Arthromitus;A2;Pustulibacterium;Paucilactobacillus;Paenibacillus;Paraherbaspirillum;Geofilum;Arcanobacterium;Coprobacillus;Erysipelotrichaceae_UCG_008;Alistipes;Leptotrichia;Flavobacterium;CHKCI002;Pyramidobacter;Facklamia;Enterobacter;Agrilactobacillus;Ochrobactrum;Parvimonas;Sedimentibacter;Brucella;Clostridium_sensu_stricto_4;Moraxella;Lactiplantibacillus;Vespertiliibacter;Criibacterium;Aquincola;Cuneatibacter;Holzapfelia;Plantibacter;Aureibacter;Wolinella;Desulfobaculum;Atopobacter;Breznakia;Streptobacillus;Phocea;Floricoccus;Ignatzschineria;Chungangia;Paraeggerthella;Helcococcus;Peptostreptococcus;Finegoldia;Clostridium_sensu_stricto_16;Sporobacter;Oligella;Caryophanon;Falsarthrobacter;Psychrobacter;Neoscardovia;Clostridium_sensu_stricto_14;Paracoccus;Catabacter;Algorimarina;Cellulosibacter;Desulfonispora;Isobaculum;Mannheimia;Dietzia;Clostridium;Zhizhongheella;Arcobacter;Lachnobacterium;Prevotellaceae_Ga6A1_group;Raoultella;Neisseria;Candidatus_Thiophysa;Eubacterium__saphenum_group;Pelistega;Curtobacterium;Propionibacterium;Bergeyella;Samsonia;Leucobacter;Bosea;Chlamydia;Conservatibacter;Stenotrophomonas;Rhabdanaerobium;Natronoflexus;Candidatus_Heliomonas;Parvibacter;Atopobium;Caviibacterium;Anaerotruncus;Millisia;Methylarcula;Rudaeicoccus;Lapidilactobacillus
1554;CRB198062;PM;2.96454549;83;0.257677903;0.13164794;0.089513109;0.012172285;0.011048689;0;0;0.015543071;0.05917603;0.008988764;0.006367041;0.007677903;0.026029963;0.008614232;0.008801498;0.083895131;0.018164794;0.001123596;0.006928839;0.017790262;0.006741573;0.010674157;0.020786517;0.010861423;0.001498127;0.00411985;0.011610487;0.011423221;0.003183521;0.004681648;0.002247191;0.003745318;0.011985019;0.041011236;0.004868914;0.002434457;0.005805243;0;0.002808989;0.001123596;0.005992509;0.001685393;0.000749064;0.001310861;0.009550562;0.00093633;0.000374532;0.001498127;0.001310861;0.000374532;0.002996255;0.000749064;0.000749064;0.001123596;0.005243446;0.000561798;0;0;0.001310861;0.001685393;0.002247191;0.003183521;0.000374532;0;0.002808989;0.000374532;0;0.000187266;0.000374532;0;0;0.000749064;0;0;0.002434457;0.000749064;0;0.001685393;0.000187266;0;0;0;0.001872659;0.00093633;0.000561798;0;0.000187266;0;0;0.000561798;0.001123596;0;0.001123596;0.001123596;0;0.001123596;0;0;0.001123596;0;0;0;0;0.00093633;0;0.000187266;0.000187266;0;0;0;0;0.001123596;0;0;0;0;0;0;0;0.001123596;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000374532;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1555;CRB198069;RT;3.160491907;89;0.207183855;0.126272912;0.000555453;0.009257545;0.008887243;0.000740604;0;0.054434364;0.044251065;0.01240511;0.06591372;0.000370302;0.012775412;0.053878911;0.013330865;0.022403259;0.010738752;0.002406962;0.003888169;0.027587484;0.004258471;0.007591187;0.077022774;0.003147565;0.000370302;0.009072394;0.001666358;0.00814664;0.007776338;0.001481207;0.002777263;0.009072394;0.022403259;0.025550824;0.005184225;0.00203666;0.023329013;0.000185151;0;0.007035734;0.007591187;0.000555453;0.001851509;0.000370302;0.003703018;0.001851509;0.001296056;0;0.000925754;0.002221811;0.001666358;0.002777263;0.002406962;0.001481207;0.01036845;0.000185151;0.000185151;0;0.007776338;0.004443622;0.001666358;0;0.000185151;0;0.011109054;0;0.007406036;0;0;0;0;0.000555453;0;0.000185151;0.001851509;0.001481207;0.003332716;0.000555453;0.000370302;0;0;0;0;0.000555453;0.000370302;0;0;0;0;0.003147565;0.003332716;0;0.002592113;0.004813923;0.000370302;0.000740604;0.000370302;0;0.000925754;0.000370302;0.00203666;0;0.001481207;0;0;0;0;0.000185151;0;0;0;0.000370302;0.000555453;0.000185151;0.000185151;0.000555453;0;0;0;0.000555453;0;0;0;0;0;0;0;0;0.000185151;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000370302;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1556;CRB198080;RT;3.08051507;80;0.244050913;0.094447519;0.003135953;0.022136137;0.005349567;0;0;0.051466519;0.037815901;0.008854455;0.023058476;0.001475742;0.002213614;0.027670172;0.008485519;0.02951485;0.015495296;0.01936912;0.004980631;0.007009777;0.004611695;0.008485519;0.103855377;0.00590297;0.003689356;0.004427227;0.004980631;0.012728279;0.004611695;0.023796348;0.005718502;0.007194245;0.0269323;0.071757978;0.000922339;0.000737871;0.005534034;0.000737871;0.001106807;0.003689356;0.004611695;0.001475742;0.000922339;0;0.005534034;0.000737871;0;0.002951485;0;0;0.002029146;0.003873824;0.004058292;0.000368936;0.011990408;0.000184468;0.000737871;0;0.003873824;0.00166021;0;0.000553403;0.000184468;0;0.002213614;0.000368936;0.000737871;0.000922339;0;0.004611695;0;0.000737871;0;0;0.001106807;0.00166021;0.001291275;0.002582549;0;0;0.000368936;0.000368936;0.004427227;0;0.000368936;0.000184468;0;0;0;0;0;0;0.000553403;0.013835086;0.001844678;0;0;0;0.001291275;0.000553403;0;0;0;0;0;0;0.001475742;0.001844678;0;0;0;0.000368936;0;0;0;0;0;0;0;0.002398082;0;0;0.000184468;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1557;CRB198081;PM;2.553008329;64;0.271984805;0.071035138;0.092117759;0.002469136;0.20379867;0;0;0.010446344;0.073884141;0.005318139;0.004748338;0.000569801;0.014624881;0.019373219;0.004558405;0.044444444;0.001709402;0.001709402;0.001899335;0.009306743;0.003418803;0.00322887;0.024501425;0.017473884;0.019183286;0.004748338;0;0.001519468;0.003608737;0.000379867;0.002849003;0.00379867;0.00322887;0.034567901;0.000949668;0.000189934;0.00379867;0;0.001709402;0.000759734;0.004938272;0;0;0;0.003418803;0.000569801;0.000189934;0;0.001139601;0;0.003038936;0.000569801;0;0.000949668;0.000569801;0;0;0;0.001899335;0.001139601;0;0.000759734;0.000189934;0;0.000759734;0;0;0;0;0;0;0.001139601;0;0;0.00322887;0.004558405;0;0.000189934;0;0;0;0;0;0.000379867;0;0;0;0;0;0.000569801;0;0;0.000379867;0.002659069;0;0.000569801;0;0;0;0;0.000569801;0;0;0;0;0.000379867;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000949668;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000189934;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000189934;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1558;CRB198063;RT;2.791744889;77;0.247456515;0.064325566;0;0.014440433;0.002789629;0.017886446;0;0.051690187;0.060879554;0.026583525;0.224154906;0.000164096;0.010009846;0.010994421;0.010830325;0.008204792;0.0196915;0.002625533;0.002953725;0.018706925;0.004594683;0.004102396;0.033803741;0.004430587;0.000328192;0.008368887;0.003281917;0.012471283;0.002461437;0.002953725;0.000984575;0.0078766;0.016737775;0.015589104;0.006235642;0.001148671;0.004922875;0;0;0.000328192;0.012307187;0.000492287;0.000164096;0.000328192;0.001312767;0.001148671;0.00196915;0.000984575;0.002297342;0.000164096;0.003610108;0.000164096;0.006399737;0.003281917;0.014768625;0;0;0.000164096;0.001148671;0.000984575;0.000492287;0;0.000328192;0;0.004266492;0;0;0.000492287;0.000492287;0;0;0;0.000656383;0;0.000984575;0.000492287;0;0.002625533;0.000492287;0;0;0;0;0;0;0;0;0;0;0.000328192;0;0;0.001312767;0.004430587;0.000656383;0.000328192;0;0;0;0.000328192;0.001312767;0;0.000820479;0;0;0;0;0;0;0;0;0;0.000656383;0;0;0;0;0;0;0;0;0;0;0;0;0.000492287;0;0;0.000656383;0;0;0.000492287;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000164096;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1559;CRB198061;RT;3.1590823;90;0.139819156;0.184360348;0;0.005358339;0.015572672;0;0;0.04470864;0.080877428;0.009042197;0.02628935;0.004186202;0.00703282;0.027628935;0.012056263;0.010884126;0.019423979;0.001674481;0.002846618;0.03248493;0.005693235;0.018921634;0.116878768;0.005358339;0.001004689;0.001339585;0.004688547;0.018084394;0.00351641;0.004521098;0.004688547;0.012893503;0.02628935;0.014233088;0.009377093;0.002511721;0.011553918;0;0.000669792;0.003683858;0.007535164;0.001004689;0.00083724;0.002679169;0.001339585;0.001339585;0.002009377;0;0.001507033;0;0.001841929;0.00351641;0.007367716;0.006530476;0.01758205;0.000669792;0;0;0.001841929;0.001004689;0;0.002009377;0.000167448;0.000669792;0.010214334;0;0.000334896;0.003348962;0.000502344;0.004186202;0.000502344;0.000167448;0.000167448;0;0.00083724;0.003348962;0.001172137;0.001339585;0.000669792;0;0.000502344;0.00083724;0;0;0;0;0.00083724;0;0;0.001339585;0.000669792;0.000502344;0.003181514;0.00435365;0.000669792;0.000502344;0.00083724;0;0.000167448;0;0;0;0.000334896;0.001004689;0;0;0;0.000167448;0;0;0;0.00083724;0.002176825;0;0.000334896;0;0;0;0;0.000502344;0;0;0;0;0;0;0;0;0.001004689;0;0;0;0;0.000334896;0;0;0;0;0;0;0;0;0.000502344;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1560;CRB198037;RT;3.336062602;85;0.144590495;0.131445905;0.003437816;0.056622851;0.003437816;0;0;0.053589484;0.043478261;0.01536906;0.042264914;0.000606673;0.004651163;0.008493428;0.016380182;0.102325581;0.028311426;0.029120324;0.006268959;0.013346815;0.002426694;0.012133468;0.023458038;0.005055612;0.002022245;0.002831143;0.009706775;0.011526795;0.010515672;0.008493428;0.010920121;0.018402427;0.015571284;0.020424671;0.004853387;0.008695652;0.00364004;0;0.002224469;0.003437816;0.004246714;0.023255814;0.003842265;0.000808898;0.004246714;0.005460061;0.000606673;0.00182002;0.00182002;0.001213347;0.003033367;0.004044489;0.00182002;0.000202224;0.009908999;0;0.001415571;0;0.003437816;0.004246714;0.000808898;0;0.002628918;0;0.001617796;0.000404449;0;0;0.002224469;0;0.001011122;0;0;0;0.005662285;0.003033367;0;0.000808898;0.000808898;0;0.002022245;0.000404449;0.000404449;0;0.000606673;0.000606673;0;0;0.000404449;0.000202224;0.000404449;0.002022245;0.001011122;0.003437816;0.005662285;0.001011122;0;0;0;0;0;0;0;0.000606673;0;0;0.000404449;0.001617796;0;0;0.002022245;0;0;0.000202224;0;0;0;0;0;0.002224469;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000202224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1562;CRB198054;PM;2.647493252;84;0.30890538;0.188497217;0.000556586;0.001669759;0.009276438;0;0;0.013914657;0.066233766;0.020408163;0.003710575;0;0.081076067;0.071985158;0.008163265;0.016326531;0.008534323;0.003710575;0.002597403;0.024489796;0.00890538;0.004638219;0.02541744;0.010018553;0.002226345;0.005194805;0.000185529;0.003710575;0.002226345;0.001113173;0.000742115;0.007977737;0.008348794;0.007977737;0.005009276;0;0.007792208;0.00148423;0;0.00296846;0.000556586;0.000371058;0;0;0.003896104;0.000371058;0.002782931;0.000556586;0.003339518;0;0.001669759;0.001298701;0.000927644;0.002040816;0.004267161;0.000556586;0.000185529;0;0.005380334;0.00296846;0.002411874;0;0.000371058;0;0.000927644;0;0.000371058;0.000371058;0;0;0;0.002040816;0.000371058;0;0.001113173;0.001669759;0;0.002226345;0.000185529;0;0;0;0.001855288;0.001855288;0.000371058;0;0;0;0.000371058;0.003710575;0.002226345;0;0.000927644;0.001855288;0.000185529;0.001113173;0.000185529;0.000556586;0.000742115;0.000927644;0.000742115;0;0;0;0;0.000556586;0;0;0;0;0;0;0.000556586;0;0.000185529;0;0;0;0;0;0;0;0;0;0;0.000185529;0;0.000927644;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000556586;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000185529;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1563;CRB198034;PM;2.771505918;81;0.333333333;0.192285213;0.006818625;0.005065264;0.026495227;0;0;0.015585428;0.034872394;0.007792714;0.025521138;0;0.054548997;0.019481785;0.007597896;0.028248588;0.004675628;0.006818625;0.006428989;0.012857978;0.006428989;0.005649718;0.021429963;0.01714397;0.011104617;0.010130528;0.001168907;0.004091175;0.001948178;0.007792714;0.006039353;0.001948178;0.007403078;0.014221703;0.002142996;0.002922268;0.002922268;0;0;0.002337814;0.001168907;0.002337814;0.001363725;0.000194818;0.003117086;0.002142996;0.000974089;0.003506721;0.003701539;0.000779271;0.006234171;0.001168907;0.001948178;0.001753361;0.007403078;0;0.000389636;0.001168907;0.002532632;0.001558543;0.000584454;0;0.001753361;0;0.001948178;0;0.006623807;0;0.000194818;0;0;0.002337814;0.000194818;0;0.004091175;0.002922268;0;0.001168907;0;0;0;0.000779271;0.000974089;0.000389636;0;0;0;0;0.000389636;0.003311903;0.001948178;0;0.000974089;0.001558543;0.001753361;0.000584454;0;0;0;0;0.001558543;0;0;0;0;0.001558543;0.001363725;0.000194818;0;0;0;0.000389636;0;0.000194818;0;0;0;0;0;0.001558543;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1564;CRB198033;PM;2.328093982;64;0.448188547;0.093883911;0.100701208;0.004285158;0.023178808;0;0;0.009738995;0.060771328;0.008180756;0.004285158;0.000973899;0.02006233;0.011297234;0.004285158;0.049863654;0.001753019;0.001558239;0.008765095;0.006232957;0.005064277;0;0.023763148;0.013050253;0.006232957;0.012271134;0.00038956;0.003116478;0.00077912;0.000973899;0.004869497;0.004869497;0.006038177;0.007012076;0;0.00019478;0.001168679;0.001753019;0.003116478;0.000973899;0.001753019;0.00019478;0;0;0.003506038;0.001558239;0;0;0.001947799;0.00077912;0.012465914;0.00058434;0;0;0.004285158;0;0;0.001363459;0.001363459;0.00077912;0.00038956;0;0.002921698;0;0;0;0;0;0.001168679;0;0;0.00058434;0;0;0.001363459;0.001558239;0;0;0;0;0;0;0.003506038;0.001168679;0;0.00019478;0;0;0;0;0.00058434;0;0.00019478;0.00019478;0;0.000973899;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00058434;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00019478;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00019478;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
